station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;trawling_depth_non_duplicate;bottom_depth;bottom_proximity;taxon;family;species_code;species;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;percentage_c;percentage_c_delipidated;ampl_28;d15n;d15n_delipidated;percentage_n;percentage_n_delipidated;ratio_c_n_muscle;ratio_c_n_muscle_delipidated
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,5;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10;8;1;Lamp-cro 71;0,5295;6409;non;-19,97;-20,15;NA;-20,15;45,9;NA;3934;10,89;NA;14,5;NA;3,17;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,03;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10,4;7,5;1;Lamp-cro 116;0,5455;6525;non;-19,7;-19,88;NA;-19,88;44,94;NA;3949;10,05;NA;14,18;NA;3,17;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,63;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;9,7;9;1;Ser-koeff 11;0,553;10940;non;-19,89;-20,07;NA;-20,07;40,64;NA;3789;11,81;NA;12,82;NA;3,17;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,67;1661,471;1290,521;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;5,5;5;1;Arg-olf 9;0,558;6323;non;-19,64;-19,81;NA;-19,64;44,58;NA;3946;10,01;NA;14,03;NA;3,18;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,57;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;11,5;12,5;1;Lamp-cro 61;0,5095;8356;non;-19,22;-19,39;NA;-19,39;45,87;NA;3747;11,41;NA;14,44;NA;3,18;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,34;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12;12;1;Lamp-cro 47;0,5455;6483;non;-19,58;-19,75;NA;-19,75;45,03;NA;3918;10,16;NA;14,15;NA;3,18;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,14;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12,7;17;1;Lamp-cro 111;0,516;8577;non;-19,24;-19,41;NA;-19,41;45,99;NA;3800;10,99;NA;14,46;NA;3,18;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,59;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;10,1;10,5;1;Mau-arg 11;0,5065;9625;non;-19,19;-19,36;NA;-19,19;39,36;NA;5218;12,89;NA;12,37;NA;3,18;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,6;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;11;13,5;1;Mau-arg 1;0,516;9819;non;-19,16;-19,33;NA;-19,16;39,68;NA;3417;11,79;NA;12,47;NA;3,18;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,65;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;10,9;12,5;1;Ser-koeff 10;0,556;10689;non;-19,76;-19,94;NA;-19,94;39,65;NA;3715;11,16;NA;12,48;NA;3,18;NA
