station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;bottom_depth;bottom_proximity;taxon;family;species_code;species;group;community;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;%c;%c_delipidated;ampl_28;d15n;d15n_delipidated;%n;%n_delipidated;ratio_c_n_muscle_delipidated;ratio_c_n_muscle
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 5;0,5075;8092;non;-20,85;-20,64;NA;-20,64;44,44;NA;3286;9,64;NA;12,47;NA;3,564545046;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 6;0,488;7859;non;-20,94;-20,73;NA;-20,73;44,8;NA;3174;9,38;NA;12,57;NA;3,565303535;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 7;0,51;8026;non;-20,79;-20,56;NA;-20,56;43,82;NA;3230;10,64;NA;12,2;NA;3,591412298;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 8;0,4695;7862;non;-20,94;-20,65;NA;-20,65;43,29;NA;2892;9,66;NA;11,87;NA;3,645118079;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 9;0,514;7932;non;-20,71;-20,49;NA;-20,49;42,93;NA;3205;10,51;NA;12,03;NA;3,568028161;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Krill;Euphausiidae;Mega-nor;Meganyctiphanes_norvegica;NA;25;NA;NA;5;Mega-nor 16;0,5225;8102;non;-20,81;-20,86;NA;-20,86;43,32;NA;3530;8,08;NA;13,12;NA;3,301068289;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Krill;Euphausiidae;Mega-nor;Meganyctiphanes_norvegica;NA;25;NA;NA;5;Mega-nor 17;0,545;8337;non;-20,78;-20,8;NA;-20,8;42,72;NA;3599;7,98;NA;12,79;NA;3,340724906;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Krill;Euphausiidae;Mega-nor;Meganyctiphanes_norvegica;NA;25;NA;NA;5;Mega-nor 18;0,5425;8263;non;-20,95;-20,95;NA;-20,95;42,57;NA;3574;8,04;NA;12,67;NA;3,360522526;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Krill;Euphausiidae;Mega-nor;Meganyctiphanes_norvegica;NA;25;NA;NA;5;Mega-nor 19;0,4975;7708;non;-20,96;-20,94;NA;-20,94;43,17;NA;3340;8,14;NA;12,81;NA;3,371274479;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Krill;Euphausiidae;Mega-nor;Meganyctiphanes_norvegica;NA;25;NA;NA;5;Mega-nor 20;0,528;8313;non;-20,89;-20,85;NA;-20,85;43,93;NA;3572;7,99;NA;12,97;NA;3,387309909;NA
